segnale,centroid_mean,centroid_std,spread_mean,spread_std,rolloff_mean,rolloff_std,slope_mean,slope_std,obsir_std_mean,obsir_std_std,flatness_mean,flatness_std,crest_mean,crest_std,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,entropy_mean,entropy_std,tpr_mean,tpr_std,n_peaks_mean,n_peaks_std,tonality_mean,tonality_std,flux_mean,flux_std,irregularity_mean,irregularity_std,zcr_mean,zcr_std
24_bin_esatto_40,468.75,0,8.2868,1.77636e-15,480.47,1.7053e-13,0.695234,2.56619e-09,7.50097,0.000548061,0.94497,2.22045e-16,1.4999,2.22045e-16,0,0,-1.0002,0,0.104313,1.38778e-17,85.7204,6.13706e-07,232.672,6.65631,0.004097,1.73472e-18,0,0,29.0171,1.42109e-14,0.00964605,1.12785e-05
25_fuori_bin_40,474.61,5.68434e-14,11.5608,5e-05,480.47,1.7053e-13,5.29884,0.0132936,4.71792,0.0116472,0.104464,3.5e-06,5.6167,8.88178e-16,0,0.0003,5.4955,0.0002,0.103842,1.38778e-17,16.8729,4e-06,226.629,9.64234,0.163505,2.5e-06,2.97414e-06,2.7734e-07,28.6894,3.55271e-15,0.00982905,6.09909e-05
26_bin_esatto_80,937.5,0,8.2868,1.77636e-15,949.22,1.13687e-13,0.695316,7.79647e-09,8.1948,0.000128904,0.94497,2.22045e-16,1.4999,2.22045e-16,0,0,-1.0002,0,0.104313,1.38778e-17,85.7147,1.0781e-06,114.483,1.08662,0.004097,1.73472e-18,0,0,29.0171,1.42109e-14,0.0194131,1.12785e-05
27_fuori_bin_80,943.36,2.27374e-13,11.5609,0,949.22,1.13687e-13,5.31032,0.00327471,6.01309,0.00932009,0.104464,1.38778e-17,5.6167,8.88178e-16,0,0,5.4955,8.88178e-16,0.103842,1.38778e-17,16.8729,5e-07,234.784,12.159,0.163506,2.77556e-17,0,0,28.6894,3.55271e-15,0.0195961,6.09909e-05
28_gliss_lento_200_2000,1098.5,516.562,11.6402,0.506433,1108.7,516.555,5.38719,25.7456,5.54479,1.20276,0.118488,0.0086098,5.44757,0.341531,1.50215e-05,0.0462694,3.30876,1.05763,0.110179,0.000260593,19.7633,2.22157,152.137,13.1491,0.154574,0.00515635,0.252349,0.0233797,28.8863,0.0946319,0.022886,0.0107612
29_gliss_veloce_200_2000,1095.8,509.864,16.633,0.109349,1110.73,509.595,5.69786,17.0884,5.27966,1.16024,0.156525,0.00776207,5.05232,0.120109,-5.65217e-05,0.0147886,1.99397,0.189471,0.149554,5.13381e-05,7.97979,16.5762,142.101,17.5888,0.134325,0.00356925,0.63906,0.0787978,28.6748,0.0686113,0.02283,0.0106193
30_gliss_lento_2000_200,1101.5,516.561,11.6355,0.507949,1111.67,516.633,6.24266,25.4354,5.55219,1.20166,0.118738,0.00846377,5.43877,0.336437,-0.00111845,0.0472303,3.29408,1.05719,0.110181,0.000261853,19.7703,2.2347,153.76,13.9094,0.154414,0.0050553,0.252375,0.0233122,28.8864,0.0952223,0.0229463,0.010762
31_gliss_micro_440_460,450.008,5.68703,10.1762,1.05233,460.048,6.89098,7.26966,34.8244,4.90346,0.516065,0.111284,0.0796855,5.122,1.03031,0.0019133,0.0569958,3.10779,2.17997,0.104161,0.000176214,28.65,9.15559,130.245,14.6307,0.163198,0.0177926,0.00312513,0.000258037,28.9261,0.0900851,0.00937441,0.000132058
32_2sin_200_4000,2134.13,9.09495e-13,1899.67,0.000107797,4007.81,9.09495e-13,-0.108693,0.000366066,8.43826,0.0140814,0.0952537,5.31395e-06,5.3112,0,-0.0361,1.38778e-17,-1.9986,4.44089e-16,0.187503,4.46948e-07,24.7268,5.16053e-06,171.112,5.61674,0.170186,3.93236e-06,3.96552e-07,4.89181e-07,55.1115,1.42109e-14,0.0833114,5.98929e-05
33_2sin_400_1000,703.31,2.27374e-13,300.162,0.000194138,1007.81,3.41061e-13,0.924877,0.000773781,3.93249,0.0149978,0.0966375,7.72754e-06,5.70941,2.38125e-05,-0.0232,3.46945e-18,-1.9947,4.44089e-16,0.187495,2.77556e-17,24.363,4.76208e-06,179.957,9.04051,0.169142,5.84475e-06,4.2931e-06,2.37086e-06,55.0943,2.13163e-14,0.0208291,8.78566e-05
34_2sin_100_8000,4038.49,1.50447,3950.1,0.0285996,8003.91,3.63798e-12,0.0958575,0.275373,5.69035,0.0500977,0.0966078,0.00516539,6.27673,0.233626,0.00589224,0.000744769,-1.9999,2.22045e-16,0.18726,2.92244e-06,19.3413,0.00294921,297.853,7.44781,0.169269,0.00388413,0.000328543,0.000200487,53.0445,3.02704,0.16668,5.45276e-05
35_2sin_200cresc_4000dim,2127.86,1089.77,1501.2,409.87,3474.23,1315.31,-0.671351,0.653284,6.5384,0.404081,0.10937,0.00994314,6.46633,0.62723,-0.0911527,2.67136,5.14832,19.6105,0.145026,0.0290248,26.8203,5.16372,168.296,6.41015,0.160496,0.00680878,0.00438199,0.000325192,53.9574,1.47023,0.0536197,0.032325
36_2sin_200dim_4000cresc,2117.44,1090,1501.17,409.953,3453.94,1336.21,-0.706341,0.628634,6.53331,0.416081,0.109245,0.0101402,6.46338,0.620272,-0.00708011,2.67654,5.16737,19.7159,0.145027,0.0290235,26.8635,5.18687,167.522,6.76344,0.160593,0.00696779,0.00438268,0.000325136,53.9575,1.46989,0.0533939,0.0323879
37_2sin_convergono_1000,1548.26,314.724,976.514,560.043,2507.71,862.234,0.915327,5.28878,6.84872,0.875872,0.114948,0.010059,5.49778,0.45699,-0.0434769,0.0249573,-1.97131,0.186205,0.191381,0.00163254,19.7689,9.08665,191.98,20.7888,0.156825,0.00574002,0.183757,0.0139539,54.3789,3.60969,0.0507198,0.0170096
38_2sin_divergono_1000,1546.47,314.739,973.316,560.026,2502.86,862.161,0.69139,7.00668,6.84763,0.877357,0.115232,0.0103534,5.49339,0.472614,-0.043576,0.0189658,-1.96604,0.218714,0.191297,0.0029103,19.4809,11.0824,191.614,20.379,0.156664,0.00597263,0.183628,0.0143479,54.2261,3.97564,0.0505785,0.0170053
39_2sin_convergono_unisono,400.038,0.762306,52.0754,27.1106,454.923,28.6068,2.84146,16.1313,3.40922,0.212768,0.119614,0.0208891,4.71708,0.842423,0.00213314,0.0622818,-1.29137,1.27287,0.181286,0.0174531,6.24536,51.5918,161.066,35.3979,0.154754,0.0122071,0.0215716,0.0365646,41.0924,9.83168,0.00936251,0.000597147
40_tanh_drive_cresc,1509.29,569.693,1810.47,887.098,2923.65,1308.76,-2.97613,0.461759,2.14278,0.240431,0.166144,0.0207015,16.5593,3.72328,2.54754,0.285116,7.69573,1.77128,0.160373,0.0208119,18.44,0.133965,422.292,115.636,0.130537,0.00970065,0.00431143,0.00449369,346.068,148.545,0.00916595,3.33878e-05
41_tanh_drive_decresc,1512.55,569.481,1815.58,886.914,2931.25,1309.26,-2.96516,0.434971,2.14153,0.239457,0.16638,0.0204887,16.5764,3.72205,2.54332,0.272987,7.66481,1.67808,0.160501,0.0207124,18.4408,0.133411,422.459,115.114,0.130417,0.00955665,0.00427221,0.00441707,346.971,148.583,0.00916595,3.33878e-05
42_fm_idx_cresc,2355.91,1083.73,1325.58,543.697,3727.57,1645.76,-1.1616,0.58692,1.92329,0.755104,0.134369,0.00546985,8.94832,0.524355,0.358499,0.43516,-0.187238,0.786802,0.368621,0.0674652,22.5828,1.71603,449.906,71.6853,0.145344,0.00295112,0.0389874,0.00833234,508.003,179.693,0.0463866,0.023479
43_fm_idx_decresc,2362.19,1084.11,1328.82,543.566,3737.22,1640.52,-1.16921,0.59577,1.91889,0.753974,0.134224,0.00542898,8.94979,0.515336,0.355312,0.431525,-0.194642,0.773044,0.369092,0.0670084,22.5919,1.70979,449.485,72.1856,0.145421,0.00294144,0.038984,0.00833385,509.169,179.189,0.0465354,0.0234739
44_tanh_drive_cresc_veloce,1507.35,562.562,1807.73,875.666,2917.12,1295.61,-2.97749,0.404226,2.13175,0.214946,0.165972,0.0201778,16.5792,3.66817,2.53898,0.242463,7.63841,1.42203,0.160489,0.0204434,18.4342,0.146315,463.304,107.212,0.130577,0.00939846,0.0136881,0.0135621,346.193,146.842,0.00916838,3.68346e-05
45_fm_idx_cresc_veloce,2347.47,1067.96,1323.43,535.872,3724.18,1627.08,-1.16338,0.580452,1.85036,0.677628,0.134644,0.00496703,9.02071,0.500957,0.357667,0.424064,-0.197333,0.756171,0.369342,0.0660064,22.4792,1.64417,464.652,70.3251,0.145185,0.00267934,0.124557,0.0292781,507.285,176.411,0.0462526,0.0231778
